,zipcode,income,state
0,0,115806207,AL
1,35004,290260,AL
2,35005,121690,AL
3,35006,57418,AL
4,35007,697882,AL
5,35010,384319,AL
6,35014,75228,AL
7,35016,366988,AL
8,35019,38993,AL
9,35020,251540,AL
10,35022,551747,AL
11,35023,469381,AL
12,35031,121339,AL
13,35033,81906,AL
14,35034,52266,AL
15,35035,37725,AL
16,35040,402014,AL
17,35042,103462,AL
18,35043,422071,AL
19,35044,128191,AL
20,35045,257571,AL
21,35046,125440,AL
22,35049,76185,AL
23,35051,208502,AL
24,35053,67089,AL
25,35054,127737,AL
26,35055,415554,AL
27,35057,285110,AL
28,35058,215699,AL
29,35060,4445,AL
30,35061,22427,AL
31,35062,171707,AL
32,35063,52224,AL
33,35064,147677,AL
34,35068,180971,AL
35,35071,464235,AL
36,35072,72208,AL
37,35073,36588,AL
38,35077,223225,AL
39,35078,43268,AL
40,35079,185521,AL
41,35080,562560,AL
42,35083,54355,AL
43,35085,153921,AL
44,35087,33612,AL
45,35089,24222,AL
46,35091,86371,AL
47,35094,352220,AL
48,35096,171424,AL
49,35097,37608,AL
50,35098,24644,AL
51,35111,438293,AL
52,35112,5893,AL
53,35114,198704,AL
54,35115,232431,AL
55,35116,123862,AL
56,35117,168588,AL
57,35118,61394,AL
58,35120,324451,AL
59,35121,306816,AL
60,35124,940188,AL
61,35125,199723,AL
62,35126,501447,AL
63,35127,222942,AL
64,35128,262744,AL
65,35130,54045,AL
66,35131,62565,AL
67,35133,78422,AL
68,35135,45183,AL
69,35136,31357,AL
70,35143,67377,AL
71,35146,293899,AL
72,35147,163944,AL
73,35148,45598,AL
74,35149,8442,AL
75,35150,297473,AL
76,35151,143276,AL
77,35160,405145,AL
78,35171,72157,AL
79,35172,47755,AL
80,35173,1060223,AL
81,35175,122506,AL
82,35176,14056,AL
83,35178,67281,AL
84,35179,189961,AL
85,35180,314796,AL
86,35183,13040,AL
87,35184,92146,AL
88,35186,147767,AL
89,35188,62818,AL
90,35203,138219,AL
91,35204,91630,AL
92,35205,445366,AL
93,35206,195322,AL
94,35207,83879,AL
95,35208,160292,AL
96,35209,1315379,AL
97,35210,380337,AL
98,35211,329763,AL
99,35212,167703,AL
100,35213,1561430,AL
101,35214,312350,AL
102,35215,669433,AL
103,35216,1445471,AL
104,35217,166809,AL
105,35218,64054,AL
106,35221,48603,AL
107,35222,326400,AL
108,35223,1885280,AL
109,35224,63449,AL
110,35226,1676160,AL
111,35228,124333,AL
112,35233,62669,AL
113,35234,46247,AL
114,35235,397481,AL
115,35242,3310806,AL
116,35243,1317704,AL
117,35244,1515465,AL
118,35401,338454,AL
119,35404,327754,AL
120,35405,867576,AL
121,35406,893646,AL
122,35441,19067,AL
123,35442,69257,AL
124,35443,21101,AL
