,zipcode,tot_income,state,population,city,lat,long,county,av_income
0,35004,290260,AL,10418,MOODY,33.59,-86.49,St. Clair,27861.0
1,35005,121690,AL,7708,ADAMSVILLE,33.59,-86.95,Jefferson,15787.0
2,35006,57418,AL,3099,ADGER,33.42,-87.19,Jefferson,18528.0
3,35006,57418,AL,3099,ADGER,33.42,-87.19,Tuscaloosa,18528.0
4,35006,57418,AL,3099,ADGER,33.42,-87.19,Walker,18528.0
5,35007,697882,AL,26630,ALABASTER,33.22,-86.82,Shelby,26207.0
6,35010,384319,AL,20826,ALEXANDER CITY,32.92,-85.93,Coosa,18454.0
7,35010,384319,AL,20826,ALEXANDER CITY,32.92,-85.93,Elmore,18454.0
8,35010,384319,AL,20826,ALEXANDER CITY,32.92,-85.93,Tallapoosa,18454.0
9,35014,75228,AL,4077,ALPINE,33.33,-86.18,Talladega,18452.0
10,35016,366988,AL,15997,ARAB,34.32,-86.5,Blount,22941.0
11,35016,366988,AL,15997,ARAB,34.32,-86.5,Cullman,22941.0
12,35016,366988,AL,15997,ARAB,34.32,-86.5,Marshall,22941.0
13,35016,366988,AL,15997,ARAB,34.32,-86.5,Morgan,22941.0
14,35019,38993,AL,2358,BAILEYTON,34.26,-86.61,Cullman,16536.0
15,35019,38993,AL,2358,BAILEYTON,34.26,-86.61,Morgan,16536.0
16,35020,251540,AL,27134,BESSEMER,33.37,-86.96,Jefferson,9270.0
17,35022,551747,AL,19416,BESSEMER,33.37,-86.96,Jefferson,28417.0
18,35022,551747,AL,19416,BESSEMER,33.37,-86.96,Shelby,28417.0
19,35023,469381,AL,25049,BESSEMER,33.43,-86.99,Jefferson,18739.0
20,35031,121339,AL,8306,BLOUNTSVILLE,34.08,-86.58,Blount,14609.0
21,35033,81906,AL,3532,BREMEN,33.95,-87.0,Cullman,23190.0
22,35033,81906,AL,3532,BREMEN,33.95,-87.0,Walker,23190.0
23,35034,52266,AL,4804,BRENT,32.94,-87.17,Bibb,10880.0
24,35035,37725,AL,1203,BRIERFIELD,33.06,-86.98,Bibb,31359.0
25,35035,37725,AL,1203,BRIERFIELD,33.06,-86.98,Shelby,31359.0
26,35040,402014,AL,16646,CALERA,33.1,-86.75,Chilton,24151.0
27,35040,402014,AL,16646,CALERA,33.1,-86.75,Shelby,24151.0
28,35042,103462,AL,5813,CENTREVILLE,32.95,-87.13,Bibb,17798.0
29,35043,422071,AL,10584,CHELSEA,33.32,-86.63,Shelby,39878.0
30,35044,128191,AL,8076,CHILDERSBURG,33.27,-86.35,Talladega,15873.0
31,35045,257571,AL,14795,CLANTON,32.84,-86.62,Chilton,17409.0
32,35046,125440,AL,5028,CLANTON,32.84,-86.62,Chilton,24948.0
33,35046,125440,AL,5028,CLANTON,32.84,-86.62,Coosa,24948.0
34,35049,76185,AL,3726,CLEVELAND,33.99,-86.57,Blount,20447.0
35,35051,208502,AL,8753,COLUMBIANA,33.17,-86.6,Shelby,23821.0
36,35053,67089,AL,2614,CRANE HILL,34.07,-87.05,Cullman,25665.0
37,35053,67089,AL,2614,CRANE HILL,34.07,-87.05,Winston,25665.0
38,35054,127737,AL,3974,CROPWELL,33.45,-86.34,St. Clair,32143.0
39,35055,415554,AL,20520,CULLMAN,34.17,-86.83,Cullman,20251.0
40,35057,285110,AL,13090,CULLMAN,34.17,-86.83,Cullman,21781.0
41,35058,215699,AL,9441,CULLMAN,34.17,-86.83,Cullman,22847.0
42,35060,4445,AL,306,DOCENA,33.56,-86.89,Jefferson,14526.0
43,35061,22427,AL,1381,DOLOMITE,33.47,-86.94,Jefferson,16240.0
44,35062,171707,AL,7670,DORA,33.73,-87.08,Jefferson,22387.0
45,35062,171707,AL,7670,DORA,33.73,-87.08,Walker,22387.0
46,35063,52224,AL,3879,EMPIRE,33.84,-87.01,Blount,13463.0
47,35063,52224,AL,3879,EMPIRE,33.84,-87.01,Jefferson,13463.0
48,35063,52224,AL,3879,EMPIRE,33.84,-87.01,Walker,13463.0
49,35064,147677,AL,11392,FAIRFIELD,33.47,-86.91,Jefferson,12963.0
50,35068,180971,AL,8201,FULTONDALE,33.61,-86.8,Jefferson,22067.0
51,35071,464235,AL,15815,GARDENDALE,33.66,-86.8,Jefferson,29354.0
52,35072,72208,AL,4647,GOODWATER,33.06,-86.05,Clay,15539.0
53,35072,72208,AL,4647,GOODWATER,33.06,-86.05,Coosa,15539.0
54,35072,72208,AL,4647,GOODWATER,33.06,-86.05,Talladega,15539.0
55,35072,72208,AL,4647,GOODWATER,33.06,-86.05,Tallapoosa,15539.0
56,35073,36588,AL,2213,GRAYSVILLE,33.62,-86.96,Jefferson,16533.0
57,35077,223225,AL,12676,HANCEVILLE,34.06,-86.76,Cullman,17610.0
58,35078,43268,AL,2207,HARPERSVILLE,33.34,-86.43,Shelby,19605.0
59,35079,185521,AL,8647,HAYDEN,33.89,-86.75,Blount,21455.0
60,35079,185521,AL,8647,HAYDEN,33.89,-86.75,Jefferson,21455.0
61,35080,562560,AL,16882,HELENA,33.28,-86.85,Shelby,33323.0
62,35083,54355,AL,3611,HOLLY POND,34.17,-86.61,Cullman,15053.0
63,35085,153921,AL,8646,JEMISON,32.96,-86.74,Chilton,17803.0
64,35087,33612,AL,1688,JOPPA,34.27,-86.54,Cullman,19912.0
65,35087,33612,AL,1688,JOPPA,34.27,-86.54,Marshall,19912.0
66,35087,33612,AL,1688,JOPPA,34.27,-86.54,Morgan,19912.0
67,35089,24222,AL,1795,KELLYTON,32.97,-86.09,Coosa,13494.0
