occupation,state,tot_employement,perc,h_mean,annual_mean,10,25,med,75,90
All,AL,1922570,1000,20.76,43170,17770,21740,32800,52020,78690
Management,AL,69950,36.385,53.44,111150,52130,70130,96980,133360,188860
Business and Financial Operations,AL,73110,38.028,34.33,71410,35870,47780,64350,86530,111310
Computer and Mathematical,AL,39760,20.68,39.36,81870,42150,56630,77590,102020,128500
Architecture and Engineering,AL,43010,22.37,42.41,88220,43400,60530,83660,113840,141880
"Life, Physical, and Social Science",AL,8260,4.295,31.11,64700,33570,42870,56330,78040,105730
Community and Social Service,AL,17980,9.352,21.11,43920,25450,32960,42040,54670,64110
Legal,AL,10080,5.245,41.86,87080,31140,43410,64360,114170,168640
"Education, Training, and Library",AL,103290,53.724,22.87,47560,17880,27480,46290,58020,69650
"Arts, Design, Entertainment, Sports, and Media",AL,17440,9.07,21.55,44820,18200,24090,35930,54630,78980
Healthcare Practitioners and Technical,AL,131410,68.352,33.62,69940,28850,39120,52530,73100,124610
Healthcare Support,AL,53300,27.725,12.74,26500,17700,20400,24110,29880,38330
Protective Service,AL,42410,22.058,17.84,37110,17950,22660,34270,47320,60710
Food Preparation and Serving Related,AL,173300,90.138,10.15,21110,16330,17340,19010,22860,29550
Building and Grounds Cleaning and Maintenance,AL,58870,30.62,11.91,24780,16890,18710,22370,28040,36950
Personal Care and Service,AL,48400,25.176,10.99,22860,16390,17470,19250,24600,35840
Sales and Related,AL,213670,111.139,16.52,34370,16690,18570,23720,38750,63110
Office and Administrative Support,AL,282400,146.888,16.31,33920,19420,23850,31090,40560,53240
"Farming, Fishing, and Forestry",AL,5310,2.762,16.51,34340,19490,24180,31070,41190,52880
Construction and Extraction,AL,73870,38.421,19.6,40770,23610,29140,37380,49350,62480
"Installation, Maintenance, and Repair",AL,90670,47.162,22.12,46010,24560,32220,42940,58170,73320
Production,AL,217870,113.321,16.73,34800,19150,23140,30510,42270,58360
Transportation and Material Moving,AL,148210,77.09,15.64,32540,17750,20910,28170,39200,54620
All,AK,318170,1000,27.77,57750,23450,31630,47560,72630,102040
Management,AK,18420,57.886,52.22,108620,51010,70510,96870,129150,178120
Business and Financial Operations,AK,13850,43.535,37.78,78590,43700,56950,73480,94830,119650
Computer and Mathematical,AK,5450,17.124,39.34,81820,42890,56840,76800,98040,124290
Architecture and Engineering,AK,7860,24.712,50.28,104570,53830,71330,95340,125130,159930
"Life, Physical, and Social Science",AK,6010,18.901,36.54,76000,41020,53960,71320,91590,113780
Community and Social Service,AK,7400,23.254,25.25,52520,29300,36560,48850,64700,81920
Legal,AK,2030,6.373,47.24,98260,49460,63100,88380,120830,160960
"Education, Training, and Library",AK,21860,68.71,30.66,63780,30950,40680,60490,81510,103350
"Arts, Design, Entertainment, Sports, and Media",AK,3200,10.054,26.49,55100,23850,34440,47570,66450,92400
Healthcare Practitioners and Technical,AK,17140,53.865,47.12,98020,41340,58410,81960,112140,165160
Healthcare Support,AK,8620,27.088,21.14,43970,27530,34180,39730,49390,63390
Protective Service,AK,7800,24.531,28.57,59420,30090,40700,54880,73910,97080
Food Preparation and Serving Related,AK,28040,88.137,13.65,28390,20950,21910,24730,31780,40590
Building and Grounds Cleaning and Maintenance,AK,10430,32.772,16.46,34240,22160,25330,31730,39900,50260
Personal Care and Service,AK,11700,36.759,15.48,32200,21490,24650,30530,37280,44910
Sales and Related,AK,25980,81.649,17.93,37300,21380,23780,29530,41700,62010
Office and Administrative Support,AK,51410,161.589,21.09,43870,25900,32400,41390,52980,63920
"Farming, Fishing, and Forestry",AK,420,1.32,19.41,40360,22360,24900,36280,50240,69170
Construction and Extraction,AK,18880,59.327,32.02,66600,39410,50880,64550,79500,97360
"Installation, Maintenance, and Repair",AK,17130,53.845,29.51,61370,33240,44300,60350,76280,93390
Production,AK,10990,34.547,21.31,44330,20870,23160,35440,59680,82800
